Maintenance Name,Maintenance ID,Hosts,Hostgroups,Maintenance Type,Tags,Description,Active Since,Active Till,Maintenance Window Duration (hrs),Time period,Created By,Updated By
Admin,13,"Training-VM-02, Training-VM-03, all_Checks.com","Discovered hosts, Training, GO-LIVE",With data collection,none,,2025-06-01 05:30:00,2025-06-30 05:30:00,29 days,"One time only - Every 1 unit(s), Duration: 60 minutes, Starts at: 2025-06-13 14:47:00",unknown,unknown
cpu utilization,14,"Training-VM-02, training.example.com, training IP, training IP 2, Training-VM-03","Hypervisors, DECOMMISSIONED/dipak/nagade, group1997, bobbysingh",With data collection,none,this is descriotung,2025-04-01 05:30:00,2025-07-10 05:30:00,100 days,"Weekly - Every 1 unit(s), Duration: 60 minutes, Starts at: 1970-01-01 05:30:00",unknown,unknown
admin-02,15,Training-VM-02,Training,With data collection,none,,2025-07-01 05:30:00,2025-08-02 05:30:00,32 days,"Weekly - Every 3 unit(s), Duration: 60 minutes, Starts at: 1970-01-01 05:30:00",unknown,unknown
