Total Records: 2000
E,n,d,P,O,I,N,T,:, ,h,t,t,p,s,:,/,/,a,u,s,t,r,a,l,i,a,s,o,u,t,h,e,a,s,t,.,s,n,o,w,s,o,f,t,w,a,r,e,.,i,o,/,a,p,i,/,s,a,m,/,v,1,/,o,r,a,c,l,e,/,d,a,t,a,b,a,s,e,/,i,n,s,t,a,l,l,a,t,i,o,n,s
_links,databaseName,id,isDataGuard,isRac,productId,productVersion,scanDate
"[{'href': '/api/sam/v1/oracle/database/installations/c7280e40-75d8-48c9-a9ad-a466179ffead', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/d7471efd-ac64-44de-9f26-69c7fa26a1d8', 'method': 'GET', 'rel': 'product'}]",ABIBVDBQ,c7280e40-75d8-48c9-a9ad-a466179ffead,False,False,d7471efd-ac64-44de-9f26-69c7fa26a1d8,12.2.0.1.0,2026-06-07T21:54:03Z
"[{'href': '/api/sam/v1/oracle/database/installations/d7f1ee07-0af3-4c37-81c1-21f769673634', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/d7471efd-ac64-44de-9f26-69c7fa26a1d8', 'method': 'GET', 'rel': 'product'}]",AIRBUSCTM,d7f1ee07-0af3-4c37-81c1-21f769673634,False,False,d7471efd-ac64-44de-9f26-69c7fa26a1d8,19.0.0.0.0,2026-05-27T21:06:06Z
"[{'href': '/api/sam/v1/oracle/database/installations/e15d943b-0de8-423d-884f-940988df413b', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/d7471efd-ac64-44de-9f26-69c7fa26a1d8', 'method': 'GET', 'rel': 'product'}]",AIRSTGC,e15d943b-0de8-423d-884f-940988df413b,False,False,d7471efd-ac64-44de-9f26-69c7fa26a1d8,19.0.0.0.0,2026-05-27T21:06:06Z
"[{'href': '/api/sam/v1/oracle/database/installations/973507e2-6a5a-492e-abff-eeb53d18aebb', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/d7471efd-ac64-44de-9f26-69c7fa26a1d8', 'method': 'GET', 'rel': 'product'}]",ALCTE2AC,973507e2-6a5a-492e-abff-eeb53d18aebb,True,False,d7471efd-ac64-44de-9f26-69c7fa26a1d8,19.0.0.0.0,2026-06-07T21:01:03Z
"[{'href': '/api/sam/v1/oracle/database/installations/77d30400-25f6-46ea-82bc-10c3d2f053fb', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/d7471efd-ac64-44de-9f26-69c7fa26a1d8', 'method': 'GET', 'rel': 'product'}]",ALCTE2AP,77d30400-25f6-46ea-82bc-10c3d2f053fb,True,False,d7471efd-ac64-44de-9f26-69c7fa26a1d8,19.0.0.0.0,2026-06-07T21:01:03Z
"[{'href': '/api/sam/v1/oracle/database/installations/e720a4f6-a9eb-4d98-b733-fc0c31c9a40b', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/d7471efd-ac64-44de-9f26-69c7fa26a1d8', 'method': 'GET', 'rel': 'product'}]",ALCTLIMC,e720a4f6-a9eb-4d98-b733-fc0c31c9a40b,False,False,d7471efd-ac64-44de-9f26-69c7fa26a1d8,19.0.0.0.0,2026-06-07T21:44:04Z
"[{'href': '/api/sam/v1/oracle/database/installations/5d2d67cd-6304-4b88-8da4-2fced1eda209', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/d7471efd-ac64-44de-9f26-69c7fa26a1d8', 'method': 'GET', 'rel': 'product'}]",ALCTLIMP,5d2d67cd-6304-4b88-8da4-2fced1eda209,False,False,d7471efd-ac64-44de-9f26-69c7fa26a1d8,19.0.0.0.0,2026-06-07T21:44:04Z
"[{'href': '/api/sam/v1/oracle/database/installations/d67a8109-116b-431d-9248-8ae64e0430e1', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/d7471efd-ac64-44de-9f26-69c7fa26a1d8', 'method': 'GET', 'rel': 'product'}]",ALCTLUC,d67a8109-116b-431d-9248-8ae64e0430e1,False,False,d7471efd-ac64-44de-9f26-69c7fa26a1d8,19.0.0.0.0,2026-06-06T21:14:04Z
"[{'href': '/api/sam/v1/oracle/database/installations/cd694234-0c86-48d7-abd5-a147717b6bdf', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/d7471efd-ac64-44de-9f26-69c7fa26a1d8', 'method': 'GET', 'rel': 'product'}]",ALCTLUP,cd694234-0c86-48d7-abd5-a147717b6bdf,False,False,d7471efd-ac64-44de-9f26-69c7fa26a1d8,19.0.0.0.0,2026-06-06T21:14:04Z
"[{'href': '/api/sam/v1/oracle/database/installations/3771e825-2d4b-4311-afc5-31c446cdd9ff', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/d7471efd-ac64-44de-9f26-69c7fa26a1d8', 'method': 'GET', 'rel': 'product'}]",AMBCECLD,3771e825-2d4b-4311-afc5-31c446cdd9ff,True,False,d7471efd-ac64-44de-9f26-69c7fa26a1d8,12.1.0.2.0,2026-04-20T21:58:41Z
"[{'href': '/api/sam/v1/oracle/database/installations/21552c5a-0867-4342-a3cb-c59fe0a4f348', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/d7471efd-ac64-44de-9f26-69c7fa26a1d8', 'method': 'GET', 'rel': 'product'}]",AMBCS535,21552c5a-0867-4342-a3cb-c59fe0a4f348,False,False,d7471efd-ac64-44de-9f26-69c7fa26a1d8,19.0.0.0.0,2026-06-07T21:54:23Z
"[{'href': '/api/sam/v1/oracle/database/installations/f7053a9e-06d2-4599-b1ee-ee36c40fd5a2', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/d7471efd-ac64-44de-9f26-69c7fa26a1d8', 'method': 'GET', 'rel': 'product'}]",AMBDE562,f7053a9e-06d2-4599-b1ee-ee36c40fd5a2,False,False,d7471efd-ac64-44de-9f26-69c7fa26a1d8,12.1.0.2.0,2026-06-07T21:34:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/83cbadc6-3887-4a9a-aac6-5907260565ed', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/65e129ae-7c53-4164-bca7-1d45924cd926', 'method': 'GET', 'rel': 'product'}]",AMBDS500,83cbadc6-3887-4a9a-aac6-5907260565ed,False,False,65e129ae-7c53-4164-bca7-1d45924cd926,12.1.0.2.0,2026-06-03T21:17:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/92e88836-62cb-402e-bffb-ad040306ab57', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS510,92e88836-62cb-402e-bffb-ad040306ab57,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-06-05T21:29:25Z
"[{'href': '/api/sam/v1/oracle/database/installations/9de1313c-3133-4245-972a-e806c85531f3', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS511,9de1313c-3133-4245-972a-e806c85531f3,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-06-07T21:09:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/60e8d1ad-5d8b-4f83-b6c2-f13c7001738b', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS518,60e8d1ad-5d8b-4f83-b6c2-f13c7001738b,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-06-03T21:33:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/38af86d6-23e6-4a31-9a14-0cfe46cf17f6', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS521,38af86d6-23e6-4a31-9a14-0cfe46cf17f6,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-06-06T21:52:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/5f69d3c8-2a1d-487c-817c-48556c76c8f0', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/65e129ae-7c53-4164-bca7-1d45924cd926', 'method': 'GET', 'rel': 'product'}]",AMBDS522,5f69d3c8-2a1d-487c-817c-48556c76c8f0,False,False,65e129ae-7c53-4164-bca7-1d45924cd926,12.1.0.2.0,2026-06-06T21:22:23Z
