computer_id,computer_name,application_id,application_name,license_id,license_name,agreement_id,agreement_name
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,12ff490d-b78b-463d-8661-83f17a10db2d,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,41bc6376-78c8-4c15-ae9a-85b1ac5042fb,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,4590098d-ebc9-4353-b0ad-879908d6267b,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,ac546bf0-3455-4c1d-b4b3-884010c5c00c,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,bd6d43e6-7587-49fd-9b76-89e2fd6c9667,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,78843aa5-db22-457f-89cd-8a00a3e0e891,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,606cd9c6-21f4-44d6-81e5-8bedad42c297,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,08a5f9f6-9541-4760-a786-901669eb7553,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,debc435f-62bd-4ba6-a308-91a0d6ee848e,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,cb029bdb-a86c-40b7-a628-94f0ed2fa482,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,602b0d1f-8e63-4521-8380-9937f063d3f9,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,c593e2ce-4c4b-4d8c-b9cc-9cbeed1752f8,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,4bfed0a7-cee7-46b2-9640-9cee8baf6c72,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,b7aea252-b072-447b-b3d4-9ea594787adb,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,c8686cbd-ff80-44b6-8ed3-a067b7cff076,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,b9f05f87-2d27-4121-a5bb-a3242a7c4b85,,,,,
